id,brand_id,model
1,1,Crossroads Sport
2,1,P.3
3,1,Langster
4,1,Sirrus
5,1,Allez Elite
6,1,Crosstrail Sport
7,1,Demo 8 I
8,1,Crossroads Elite
9,1,Crossroads
10,1,Stumpjumper FSR Comp 29er
11,2,520
12,2,820
13,2,1.2
14,2,7.5 FX
15,2,Remedy 8
16,2,Fuel EX 8
17,2,Remedy 7
18,2,7.3 FX
19,2,Madone 5.2
20,2,Fuel EX 7
21,3,Adventure 2
22,3,Quick 4
23,3,Adventure 1
24,3,Quick CX 4
25,3,Quick CX 2
26,3,Quick CX 3
27,3,Quick CX 1
28,3,Quick 4 Women's
29,3,Trail 6
30,3,Adventure 2 Women's
31,4,Simple Single
32,4,Cypress DX
33,4,Defy Advanced 1
34,4,Sedona
35,4,Reign 2
36,4,Cypress
37,4,TCR Advanced 2
38,4,Defy Advanced 2
39,4,Sedona DX
40,4,TCR Advanced SL 2
