brand,model,type
Giant,TCR Advanced SL 2,Road
Cannondale,Quick 4,Hybrid
Cannondale,Trail 6,Mountain
Giant,Cypress DX,Hybrid
Cannondale,Adventure 2 Women's,Hybrid
Cannondale,Quick 4,URBAN & FITNESS
Trek,7.3 FX,Hybrid
Trek,7.5 FX,Hybrid
Giant,Cypress,Hybrid
Cannondale,Quick 4 Women's,URBAN & FITNESS
Cannondale,Quick CX 4,URBAN & FITNESS
Cannondale,Quick CX 2,URBAN & FITNESS
Specialized,Sirrus,Hybrid
Giant,Sedona,URBAN & FITNESS
Trek,Fuel EX 7,Mountain
Specialized,Langster,Track / Fixie / Singlespeed
Giant,Sedona,Hybrid
Cannondale,Quick CX 2,Hybrid
Cannondale,Quick CX 1,Hybrid
Cannondale,Quick CX 3,URBAN & FITNESS
Trek,Remedy 7,Mountain
Specialized,Crossroads Sport,URBAN & FITNESS
Trek,Remedy 8,Mountain
Cannondale,Quick 4,Road
Giant,TCR Advanced 2,Road
Cannondale,Quick CX 4,Hybrid
Trek,520,Road
Specialized,Crossroads,Hybrid
Specialized,Langster,URBAN & FITNESS
Giant,Defy Advanced 2,Road
Giant,Defy Advanced 1,Road
Specialized,Crossroads,URBAN & FITNESS
Cannondale,Quick CX 3,Hybrid
Specialized,Crossroads Sport,Hybrid
Specialized,Crosstrail Sport,URBAN & FITNESS
Cannondale,Quick CX 1,URBAN & FITNESS
Specialized,Langster,Road
Giant,Simple Single,URBAN & FITNESS
Trek,Madone 5.2,Road
Cannondale,Adventure 2,URBAN & FITNESS
Specialized,Crossroads Elite,Hybrid
Giant,Reign 2,Mountain
Trek,Fuel EX 8,Mountain
Giant,Cypress,URBAN & FITNESS
Specialized,Stumpjumper FSR Comp 29er,Mountain
Cannondale,Adventure 2,Hybrid
Specialized,Crosstrail Sport,Hybrid
Specialized,Langster,Hybrid
Cannondale,Quick 4 Women's,Hybrid
Cannondale,Adventure 1,URBAN & FITNESS
Cannondale,Adventure 1,Hybrid
Specialized,Allez Elite,Road
Trek,1.2,Road
Specialized,Demo 8 I,Mountain
Giant,Cypress DX,URBAN & FITNESS
Trek,820,Mountain
Giant,Simple Single,Cruiser
Specialized,P.3,Mountain
Giant,Simple Single,Hybrid
Giant,Sedona DX,Hybrid
Giant,Sedona DX,URBAN & FITNESS
